F0_Chosen_R,F0_Chosen_C,F0_Foregone_R,F0_Foregone_C,F1_Chosen_R,F1_Chosen_C,F1_Foregone_R,F1_Foregone_C,O_Chosen_R,O_Chosen_C,O_Foregone_R,O_Foregone_C,subj,block,choice
0.0,0.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,3639.0,0.0,0.0
-1.0,-1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,3639.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3639.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3639.0,0.0,0.0
1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,3639.0,0.0,1.0
-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3639.0,0.0,0.0
0.0,0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,3639.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3639.0,0.0,1.0
-1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3639.0,0.0,1.0
-1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,3639.0,0.0,0.0
1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,3639.0,0.0,1.0
-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,3639.0,0.0,0.0
0.0,0.0,-1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,3639.0,0.0,0.0
0.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,3639.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,3639.0,0.0,0.0
1.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3639.0,0.0,1.0
1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,3639.0,0.0,1.0
1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,3639.0,0.0,0.0
